resistencia_e,cant_AM
137.9,2
114.2,2
141,4
135.5,2
182,4
189.3,4
190,4
102.9,2
155.6,2
178,4
181.8,2
101,4
216.7,2
144.4,2
130.2,2
277,4
162,4
163,2
195,4
160,2
176,4
132,2
146,2
149,2
186,4
103,2
189,4
185,4
199.5,2
150.1,2
124,4
109.5,4
180.7,2
127,4
162.2,2
276,4
136.5,2
173.7,2
153.2,2
123,2
276,4
167,4
142,2
95,4
252.7,4
142,2
186.4,4
178.9,4
176.5,4
168.8,4
198.6,2
130.8,4
115.4,2
172,4
106.6,2
159.4,4
143.3,2
195.4,2
169.5,4
151.3,2
161.8,4
176.7,4